chem_id,compound_class
100000275,6
100000276,6
100000277,7
100000278,6
100000279,6
100000280,13
100000281,6
100000282,28
100000283,6
100000285,11
100000286,11
100000287,24
100000290,28
100000291,3
100000292,21
100000293,28
100000294,21
100000295,11
100000296,6
100000298,7
100000299,28
100000300,6
100000328,30
100000330,28
100000341,6
100000355,21
100000385,21
100000406,6
100000409,11
100000421,6
100000434,7
100000435,10
100000436,7
100000437,9
100000438,25
100000439,14
100000440,20
100000441,15
100000442,3
100000443,19
100000444,20
100000445,9
100000446,15
100000447,20
100000449,20
100000450,15
100000451,20
100000452,20
100000453,27
100000454,4
100000455,11
100000456,20
100000457,1
100000458,26
100000459,0
100000460,24
100000461,20
100000463,22
100000464,9
100000465,1
100000466,2
100000467,9
100000479,23
100000481,9
100000483,9
100000484,22
100000485,27
100000486,11
100000487,11
100000488,9
100000489,20
100000491,23
100000551,11
100000559,23
100000560,6
100000561,13
100000562,13
100000564,13
100000565,13
100000568,28
100000569,28
100000571,28
100000573,28
100000574,28
100000575,13
100000576,28
100000578,28
100000579,23
100000580,6
100000582,13
100000583,3
100000584,13
100000585,13
100000587,28
100000588,28
100000589,28
100000590,28
100000591,28
100000599,28
100000600,28
100000601,28
100000602,28
100000603,28
100000604,13
100000609,21
100000610,21
100000611,3
100000616,21
100000617,3
100000622,28
100000626,3
100000627,3
100000629,13
100000630,28
100000631,3
100000633,3
100000634,5
100000636,3
100000639,28
100000640,3
100000642,2
100000645,24
100000647,5
100000648,8
100000652,5
100000654,3
100000655,23
100000656,21
100000657,3
100000660,3
100000661,5
100000665,13
100000672,3
100000673,1
100000675,1
100000682,30
100000683,1
100000684,28
100000685,28
100000686,1
100000687,27
100000688,1
100000689,1
100000690,1
100000692,19
100000693,1
100000694,21
100000696,1
100000697,29
100000698,14
100000700,5
100000701,7
100000702,11
100000703,14
100000704,8
100000705,23
100000706,29
100000707,14
100000708,4
100000709,28
100000710,20
100000712,3
100000713,9
100000714,20
100000715,26
100000716,22
100000717,9
100000718,4
100000719,23
100000720,9
100000721,20
100000722,0
100000723,3
100000724,22
100000725,27
100000726,27
100000727,27
100000728,8
100000730,1
100000731,7
100000732,27
100000733,27
100000734,10
100000735,5
100000736,10
100000737,27
100000739,27
100000740,8
100000741,27
100000742,3
100000743,26
100000744,28
100000746,7
100000747,11
100000748,4
100000749,9
100000750,27
100000751,14
100000752,1
100000753,23
100000754,1
100000755,14
100000756,10
100000757,22
100000758,27
100000759,22
100000760,20
100000762,20
100000763,28
100000764,21
100000765,15
100000766,22
100000768,26
100000769,7
100000770,9
100000771,27
100000772,29
100000773,11
100000774,20
100000775,8
100000776,30
100000777,7
100000778,20
100000779,26
100000780,22
100000781,3
100000782,10
100000783,21
100000784,11
100000785,3
100000786,6
100000787,11
100000788,19
100000789,9
100000790,9
100000791,27
100000792,8
100000793,22
100000794,27
100000795,20
100000796,10
100000797,3
100000798,23
100000799,22
100000800,22
100000801,23
100000802,3
100000803,23
100000804,22
100000805,9
100000806,4
100000807,19
100000808,5
100000809,20
100000810,23
100000812,23
100000813,9
100000814,19
100000815,25
100000816,18
100000817,22
100000818,9
100000820,10
100000821,23
100000822,29
100000823,23
100000824,10
100000825,22
100000826,28
100000827,26
100000828,15
100000829,15
100000830,22
100000832,29
100000833,29
100000834,31
100000835,18
100000836,27
100000837,18
100000838,21
100000839,13
100000840,11
100000841,4
100000842,20
100000843,5
100000845,13
100000846,26
100000847,24
100000848,19
100000849,29
100000850,0
100000852,19
100000853,15
100000854,26
100000855,29
100000856,31
100000857,31
100000858,6
100000859,8
100000860,4
100000861,22
100000862,10
100000863,15
100000864,26
100000865,15
100000866,29
100000867,15
100000868,13
100000869,10
100000870,9
100000871,10
100000872,24
100000873,19
100000874,6
100000875,0
100000876,15
100000877,26
100000878,15
100000879,13
100000880,19
100000881,6
100000882,4
100000883,20
100000884,15
100000885,19
100000886,18
100000887,4
100000888,8
100000889,31
100000890,27
100000891,9
100000892,28
100000893,6
100000894,26
100000895,27
100000896,6
100000897,6
100000898,4
100000899,31
100000900,4
100000901,18
100000902,20
100000903,4
100000904,23
100000905,22
100000906,1
100000907,6
100000908,6
100000909,29
100000910,7
100000911,27
100000912,26
100000914,20
100000915,29
100000916,22
100000917,20
100000918,1
100000919,19
100000920,1
100000921,26
100000922,19
100000923,7
100000924,26
100000925,29
100000926,6
100000927,13
100000928,19
100000929,21
100000930,7
100000931,19
100000932,26
100000933,11
100000934,6
100000935,1
100000936,29
100000937,8
100000938,6
100000939,19
100000940,19
100000942,19
100000943,26
100000944,29
100000945,6
100000946,28
100000947,14
100000948,23
100000949,19
100000951,31
100000952,20
100000953,13
100000954,28
100000955,6
100000956,15
100000957,26
100000958,24
100000959,23
100000960,24
100000961,24
100000962,20
100000963,11
100000964,24
100000965,21
100000966,14
100000967,21
100000968,23
100000970,10
100000971,10
100000972,5
100000973,20
100000974,22
100000975,16
100000976,14
100000977,9
100000978,27
100000979,20
100000980,6
100000981,23
100000982,27
100000983,11
100000984,9
100000986,20
100000987,13
100000988,13
100000989,31
100000990,1
100000991,19
100000992,26
100000993,4
100000994,11
100000995,26
100000997,11
100000998,11
100000999,4
100001000,26
100001002,23
100001003,23
100001004,6
100001005,10
100001006,26
100001007,6
100001008,6
100001009,6
100001010,27
100001018,10
100001019,0
100001020,8
100001022,26
100001023,6
100001024,1
100001025,10
100001026,6
100001027,15
100001028,15
100001029,5
100001030,6
100001031,6
100001032,6
100001033,7
100001034,9
100001035,7
100001036,6
100001037,7
100001039,1
100001040,13
100001041,18
100001042,6
100001043,15
100001044,29
100001045,23
100001046,20
100001047,26
100001048,4
100001050,7
100001051,23
100001052,5
100001053,28
100001054,3
100001055,3
100001056,13
100001057,13
100001058,28
100001059,7
100001062,7
100001063,7
100001064,7
100001065,7
100001066,8
100001067,7
100001068,7
100001069,8
100001070,7
100001072,7
100001073,8
100001074,9
100001080,15
100001081,0
100001083,9
100001086,23
100001087,24
100001088,23
100001089,22
100001092,3
100001093,10
100001094,4
100001095,8
100001096,0
100001097,10
100001100,8
100001101,23
100001102,15
100001103,24
100001104,10
100001105,7
100001106,9
100001107,22
100001108,27
100001111,10
100001112,15
100001113,20
100001114,21
100001115,21
100001118,28
100001119,23
100001120,8
100001121,10
100001122,28
100001124,23
100001125,23
100001126,30
100001127,14
100001128,11
100001129,11
100001130,14
100001131,4
100001132,28
100001133,9
100001134,13
100001135,23
100001139,7
100001142,1
100001143,4
100001144,3
100001145,11
100001146,4
100001147,4
100001148,4
100001149,13
100001150,4
100001151,26
100001152,13
100001153,4
100001155,26
100001156,10
100001159,1
100001160,9
100001161,11
100001162,30
100001163,28
100001164,28
100001165,7
100001167,0
100001169,28
100001170,26
100001171,11
100001172,13
100001175,16
100001176,26
100001178,10
100001180,11
100001181,13
100001182,13
100001183,13
100001192,13
100001193,13
100001194,13
100001195,13
100001196,15
100001197,26
100001198,13
100001199,13
100001200,13
100001201,13
100001203,23
100001204,10
100001205,22
100001206,22
100001207,20
100001208,20
100001209,29
100001210,7
100001211,15
100001212,11
100001213,9
100001214,26
100001215,6
100001216,29
100001217,1
100001218,27
100001219,27
100001220,1
100001221,1
100001222,1
100001223,4
100001226,21
100001228,13
100001229,13
100001230,13
100001231,13
100001232,13
